id,name,slug,sku,price,currency,on_sale,in_stock,permalink,image,categories
3830,Tropical sun &#8211; moringa &#8211; 30g,tropical-sun-moringa-30g,SVA-1685727969030,1.69,GBP,FALSE,TRUE,https://fremu.co.uk/product/tropical-sun-moringa-30g/,https://fremu.co.uk/wp-content/uploads/2021/09/moringa.jpg,Category: Cupboard Food
3859,Highland Spring water-500ml,highland-spring-water-500ml,SVA-1686067547310,0.59,GBP,FALSE,TRUE,https://fremu.co.uk/product/highland-spring-water-500ml/,https://fremu.co.uk/wp-content/uploads/2023/10/U-1HSP0500-19_12_2022_14_00_08_1.jpg,Category: Drink
3721,Sun Exotic Tropical fruit- 288ml,sun-exotic-tropical-fruit-288ml,SVA-1685704321426,0.69,GBP,FALSE,TRUE,https://fremu.co.uk/product/sun-exotic-tropical-fruit-288ml/,https://fremu.co.uk/wp-content/uploads/2023/10/download.jpeg,Category: Drink
3724,Red Bull Energy Drink-250ml,red-bull-energy-drink-250ml,SVA-1685704598451,1.35,GBP,FALSE,TRUE,https://fremu.co.uk/product/red-bull-energy-drink-250ml/,https://fremu.co.uk/wp-content/uploads/2023/10/711_동서레드불에너지250.jpg,Category: Drink
3720,Rubicon Still Mango &#8211; 288ml,rubicon-still-mango-288ml,SVA-1685704232232,0.79,GBP,FALSE,FALSE,https://fremu.co.uk/product/rubicon-still-mango-288ml/,https://fremu.co.uk/wp-content/uploads/2023/10/U-1RUB65MA-22_03_2023_18_00_05.jpg,Category: Drink
3847,Malta Guiness can -330ml,malta-guiness-can-330ml,SVA-1686063355889,0.89,GBP,FALSE,TRUE,https://fremu.co.uk/product/malta-guiness-can-330ml/,https://fremu.co.uk/wp-content/uploads/2022/01/malta-guiness.jpg,Category: Drink
3731,Irn bru can &#8211; 330ml,irn-bru-can-330ml,SVA-1685705345996,0.89,GBP,FALSE,FALSE,https://fremu.co.uk/product/irn-bru-can-330ml/,https://fremu.co.uk/wp-content/uploads/2023/10/irn-bru-330.jpg,Category: Drink
3650,Jumbo Aroma all purpose- 1kg,jumbo-aroma-all-purpose-1kg,SVA-1685542544196,4.99,GBP,FALSE,FALSE,https://fremu.co.uk/product/jumbo-aroma-all-purpose-1kg/,https://fremu.co.uk/wp-content/uploads/2023/10/Jumbo-Aroma-All-Purpose-1kg.jpg,Category: Spices &amp; Seasonings
3846,Hyper Malt can &#8211; 6 pck x 330ml,hyper-malt-can-6-pck-x-330ml,SVA-1686063152780,5.99,GBP,FALSE,TRUE,https://fremu.co.uk/product/hyper-malt-can-6-pck-x-330ml/,https://fremu.co.uk/wp-content/uploads/2021/09/Hyper-Malt-pack-of-6.png,Category: Drink
3746,Irn Bru &#8211; 2L,irn-bru-2l,SVA-1685717110834,2.19,GBP,FALSE,FALSE,https://fremu.co.uk/product/irn-bru-2l/,https://fremu.co.uk/wp-content/uploads/2023/10/113968011_0_640x640.jpg,Category: Drink
